class	column	line_id	line_idx	edits	subs	gt	model
letter	page-021-R	_a62346dd-475b-4f3c-b6e1-b49fb29cc150	4	2	H→Η ∅→ 	τὸν αὑτὸν ἀδικεῖν Hε15. 11. 1136a33. 12.1136b17. ημα34.	τὸν αὑτὸν ἀδικεῖν Ηε15. 11. 1136a33. 12. 1136b17. ημα34.
letter	page-021-R	_6808cd5e-3c4f-4718-bf77-9f8257d3f8ba	11	2	P→Ρ P→Ρ	κημάτων εἴδη Pα13. ἀδίκημα μεῖζον τί Pα14. 3. 1359a25.	κημάτων εἴδη Ρα13. ἀδίκημα μεῖζον τί Ρα14. 3. 1359a25.
letter	page-023-L	_b6e37aaa-7845-464e-b975-8b7fae2a21e7	41	2	τ→∅ ὸ→ὼ	τὸ εἰκὸς ȣ̓ τὸ ἀεὶ ἀλλὰ τὸ ὡς ἐπὶ τὸ πολύ Ρβ25. 1402	ὼ εἰκὸς ȣ̓ τὸ ἀεὶ ἀλλὰ τὸ ὡς ἐπὶ τὸ πολύ Ρβ25. 1402
letter	page-023-L	_609e9ffb-38ff-40b0-9528-c296786fedd2	50	1	ö→S	Göttling ad Pol p 303. — pro ἀεὶ Ρβ23. 1398a12 restituit	GSttling ad Pol p 303. — pro ἀεὶ Ρβ23. 1398a12 restituit
letter	page-023-L	_8fc8d4fb-09e5-4909-9c98-ba29931b4fd9	59	3	∅→I H→I ∅→f	ἀεικίζειν (Hom Ω54) Ρβ23. 1380b29.	ἀεικίζειν (IIom fΩ54) Ρβ23. 1380b29.
letter	page-023-R	_69306b67-6d51-40eb-88f8-15f046dc1da1	1	1	è→S	ἀεισκῶπες descr Ζιι28. 617b31-618a7. (espèce de petits	ἀεισκῶπες descr Ζιι28. 617b31-618a7. (espSce de petits
letter	page-023-R	_4bd872f5-0bfd-4ce3-8b52-073f6304c7c1	24	1	∅→γ	ζ6. 563b5, eorum nomina: πύγαργος (sive νεβροφόνος), πλά-	ζ6. 563b5, eorum nomina: πύγαργος (sive νεβροφόνος), πλάγ-
letter	page-023-R	_c21df72e-92d4-4fca-8613-b5b2a0f3ae0c	28	2	∅→α ά→ί	ἐκ τȣ͂ ζεύγȣς τῶν ἀετῶν θάτερον τῶν ἐγγόνων ἁλιάετος γίνεται	ἐκ τȣ͂ ζεύγȣς τῶν ἀετῶν θάτερον τῶν ἐγγόνων ἁλιαίετος γίνεται
letter	page-023-R	_74ad3c23-520f-498a-be37-2784df556407	51	2	∅→ȣ ὰ→̀	a23, 800a26. ἴδιον ἀηδόνι παρὰ τὰς ἄλλȣς ὄρνιθας τὸ μὴ ἔχειν	a23, 800a26. ἴδιον ἀηδόνι παρὰ τȣ̀ς ἄλλȣς ὄρνιθας τὸ μὴ ἔχειν
letter	page-024-L	_ed944a12-3579-43be-8fe9-955a7af1c346	30	1	∅→γ	διὰ τὴν πληγὴν τῇ κινήσει γίνεται πῦρ Οβ7. 289a27. —	διὰ τὴν πληγὴν τῇ κινήσει γίγνεται πῦρ Οβ7. 289a27. —
letter	page-024-R	_6ebdc5ee-61f6-42d5-8647-aed4b75e12b8	21	2	∅→ȣ ὰ→̀	περιτίθεμεν Πθ6. 1341b7. Ἀ. ἀπέβαλε τὰς αὐλȣ́ς Πθ6.	περιτίθεμεν Πθ6. 1341b7. Ἀ. ἀπέβαλε τȣ̀ς αὐλȣ́ς Πθ6.
letter	page-025-L	_67e28b32-3781-469a-9f3b-427cedcc0c44	5	3	∅→Φ Ἰ→Π Ἀ→Ἄ	οβ 1347a4. Τιμόθεος, Χαβρίας, Πυθοκλῆς, Ἰφικράτης Ἀθ.	οβ 1347a4. ΦΤιμόθεος, Χαβρίας, Πυθοκλῆς, Πφικράτης Ἄθ.
letter	page-025-L	_18a9503c-d6f1-4308-a827-3bc6070983bb	10	3	 →ν ν→  ȣ→̀	ἀθλητής, opp ἰδιώτης Ηγ11. 1116b13. κληρȣ͂ ντȣς ἀθλητάς	ἀθλητής, opp ἰδιώτης Ηγ11. 1116b13. κληρȣ͂ν τ̀ς ἀθλητάς
letter	page-025-L	_f5a977f5-d1c9-442c-ae82-7f04c78e254b	38	1	δ→θ	ἄθροισις ὑγρȣ͂, νεφῶν πδ1. 889b12. κϛ56. 946b35. αἱ τῶν	ἄθροισις ὑγρȣ͂, νεφῶν πθ1. 889b12. κϛ56. 946b35. αἱ τῶν
letter	page-025-R	_44496ffa-3131-47c6-b27b-5b719ff6e962	5	2	∅→ο ∅→ο	ἀθρωτέρα μα12. 348b22. ὄψις ἀθρωτέρα πλα16. 959a6.	ἀθροωτέρα μα12. 348b22. ὄψις ἀθροωτέρα πλα16. 959a6.
letter	page-025-R	_99e9b97b-3305-4aa0-a4b1-5d151c1fb20f	6	1	∅→ο	τὸ ἀθρώτερον ἥδιον ἢ πολλῷ κεκραμένον τῷ χρόνῳ πο26.	τὸ ἀθροώτερον ἥδιον ἢ πολλῷ κεκραμένον τῷ χρόνῳ πο26.
letter	page-025-R	_6e5dd389-3548-427a-ae8d-64a244707bcd	17	1	∅→ν	ἄθυμος. ἔθη ἄθυμα, opp ἔνθυμα Πη7. 1327b28, 30. ἀθύμȣ	ἄθυμος. ἔθνη ἄθυμα, opp ἔνθυμα Πη7. 1327b28, 30. ἀθύμȣ
letter	page-025-R	_061f5e71-ddca-44c0-b1bb-6bf192ec16ac	28	2	e→c Α→A	Αἴας, versus Hom affertur Ρβ9. 1387a34 (Λ 542). Αἴας	Αἴας, versus Hom affcrtur Ρβ9. 1387a34 (Λ 542). Aἴας
letter	page-026-L	_1f767efa-986f-40f9-9fbe-cc4fdb5f30e5	10	1	a→α	ἐπλήθυνaν f 432. 1549b24. Αἰγινητῶν πολιτεία f 432.	ἐπλήθυναν f 432. 1549b24. Αἰγινητῶν πολιτεία f 432.
letter	page-026-R	_1724b81b-5227-4757-8825-e998e1e6897a	20	1	ȣ→ὐ	a23. ȣ̓δὲν ὡς ἔτυχεν ȣ̓δ’ ἀπὸ ταȣτομάτȣ ἐν τοῖς ἀιδίοις	a23. ȣ̓δὲν ὡς ἔτυχεν ȣ̓δ’ ἀπὸ ταὐτομάτȣ ἐν τοῖς ἀιδίοις
letter	page-026-R	_3e28872a-b4bd-4261-9a6c-a0f8b6c21f7e	29	2	ί→ὶ a→α	ἀίδιον ἐπί). ἀίδιον τὸ πᾶν, τὸ ὅλον μβ3. 356b8. a14. 353	ἀίδιον ἐπὶ). ἀίδιον τὸ πᾶν, τὸ ὅλον μβ3. 356b8. α14. 353
letter	page-026-R	_caef636a-3342-444a-8a46-c7e11a01f80f	44	1	i→ί	αἰδοῖον. 1. notio. proprie αἰδοῖον usurpatur de membro geni-	αἰδοῖον. 1. notίo. proprie αἰδοῖον usurpatur de membro geni-
letter	page-027-R	_fbcecca6-4785-4ba4-b382-68894b26a4cd	52	1	Ι→I	b9 (chat C, felis, felis domesticus et catus S K Cr Su AZιΙ 63).	b9 (chat C, felis, felis domesticus et catus S K Cr Su AZιI 63).
letter	page-027-R	_7a21e949-6a70-42f2-bcf7-bd9f4142e915	58	1	μ→ι	Ζια1. 487a3. Ζμβ2. 647b12. ὑγρὸν ϗ̀ θερμὸν ἀεί, ἔχον τὸν	Ζια1. 487a3. Ζιβ2. 647b12. ὑγρὸν ϗ̀ θερμὸν ἀεί, ἔχον τὸν
letter	page-028-R	_0b0486da-e01e-4f57-ba48-2acdce83d4f2	46	1	ἷ→ὡ	891a13. ὁ πέλλος αἷμα υἷς φασὶν ἀφίησιν ἐκ τῶν ὀφθαλ-	891a13. ὁ πέλλος αἷμα υὡς φασὶν ἀφίησιν ἐκ τῶν ὀφθαλ-
letter	page-028-R	_a67725b2-7d67-4249-bbac-591301b1f092	53	1	ο→δ	συνορομὴ (εἰς τὸν πληγέντα τόπον) τὸ ἐρύθημά ἐστιν πθ3.	συνδρομὴ (εἰς τὸν πληγέντα τόπον) τὸ ἐρύθημά ἐστιν πθ3.
letter	page-029-L	_36a9e141-d4fc-4b59-8b7e-20d280fb1ab8	56	2	κ→ϗ .→̀	a1. η10. 587a31. Ζγδ1. 765b25. σὰρξ ἐρυθρὰ κ. αἱματώ-	a1. η10. 587a31. Ζγδ1. 765b25. σὰρξ ἐρυθρὰ ϗ̀ αἱματώ-
letter	page-029-R	_3a868663-01f3-45b0-9128-27053db6bce5	1	4	η→ῃ ς→ξ ’→' ὕ→ὔ	ϗ̀ γὰρ αὕτη αἱμορροΐς ἐστιν, ἀλλ’ ἐκεῖναι μὲν διὰ νόσον, αὕτη	ϗ̀ γὰρ αὕτῃ αἱμορροΐξ ἐστιν, ἀλλ' ἐκεῖναι μὲν διὰ νόσον, αὔτη
letter	page-029-R	_10512e7b-46eb-42c9-b46a-9503a737d90b	32	1	a→α	p 317. — a, (anatom et physiol) χρόα, χρόας μεταβολή	p 317. — α, (anatom et physiol) χρόα, χρόας μεταβολή
letter	page-029-R	_d3d006f4-c87e-4e58-b7c8-ff5127c19cc9	39	2	ι→∅ α→η	ἀναπνεῖν αἶγας κατὰ τὰ ὦτα Ζια11. 492a14. ἐν τοῖς μιαροῖς	ἀναπνεῖν αἶγας κατὰ τὰ ὦτα Ζια11. 492a14. ἐν τοῖς μηροῖς
letter	page-030-L	_171757dd-ecef-44f1-b545-16a0ab636c4e	25	1	o→ο	Αἰολίς oβ1351b19.	Αἰολίς οβ1351b19.
letter	page-030-R	_ccd3ea0b-5600-4674-9a69-6e8817944eff	1	1	Η→Μ	Ηα1. 1094a20, 19. καθ' αὐτὸ διώκει ϗ̀ αἱρεῖται Ηη10.	Μα1. 1094a20, 19. καθ' αὐτὸ διώκει ϗ̀ αἱρεῖται Ηη10.
letter	page-030-R	_4e64ce13-c991-4d1d-94f2-87f8ceec6f94	56	1	Ζ→Z	falconum species St Su p 100 n 13 AΖι I 93).	falconum species St Su p 100 n 13 AZι I 93).
letter	page-031-L	_528a0588-9852-4330-8f82-6e9a8b97584e	31	3	ὐ→ὑ ∅→ȣ ῷ→͂	απ. κ. λ. III 7). Ηι7. 1170a31. αὐτῷ (codd αὐτὸ) αἰσθά-	απ. κ. λ. III 7). Ηι7. 1170a31. αὑτȣ͂ (codd αὐτὸ) αἰσθά-
letter	page-032-L	_fe8e59e5-ee05-4680-9aef-90a810d72ab8	18	2	.→, l→d	σις. list φαντασία ψγ3. 428a5-16, 27. β2. 413b22. Μγ5.	σις, dist φαντασία ψγ3. 428a5-16, 27. β2. 413b22. Μγ5.
letter	page-033-L	_7c68777b-7e31-40d8-b485-24b8d68ac4ac	23	1	σ→ν	αἰσθάνεσθαι transfertur (cf ποίησις, πρᾶξις sim) ad ea quae	αἰσθάνενθαι transfertur (cf ποίησις, πρᾶξις sim) ad ea quae
letter	page-033-L	_bee91e05-8182-4843-92dd-4fd356b41be5	28	3	ᶜ→o  →∅ I→1	(αἰσθήσει cod Aᶜ, Vhl II, ἐσθῆτι Bk).	(αἰσθήσει cod Ao, Vhl1I, ἐσθῆτι Bk).
letter	page-034-L	_8f8c194d-6d55-4e2e-bc8c-061788a9a405	42	1	Δ→Λ	ὁ λογοποιὸς ηὐδοκίμει f 533. 1566b30, 34. οἱ Δελφοὶ ἀνε-	ὁ λογοποιὸς ηὐδοκίμει f 533. 1566b30, 34. οἱ Λελφοὶ ἀνε-
letter	page-034-R	_a9ca5392-4754-40cf-a2cd-4cb0ad43edf8	12	1	a→α	αἰτία, τὸ αἴτιον. a. αἴτια, dist σημεῖα, συμπτώματα μτ1.	αἰτία, τὸ αἴτιον. α. αἴτια, dist σημεῖα, συμπτώματα μτ1.
letter	page-034-R	_f597046f-0cc7-460c-be0d-48e5c35e9e7c	13	1	χ→ξ	462b27. τὸ καθὸ ἰσαχῶς ϗ̀ τὸ αἴτιον ὑπάρχει Μδ18. 1022	462b27. τὸ καθὸ ἰσαχῶς ϗ̀ τὸ αἴτιον ὑπάρξει Μδ18. 1022
letter	page-035-R	_c6afe103-f475-47f8-a1e5-f2ea2d13fdd3	25	2	ι→∅ '→’	ἀκαλήφη. καλȣ͂σιν οἱ μὲν κνίδας οἱ δ' ἀκαλήφας Ζμδ5. 681	ἀκαλήφη. καλȣ͂σν οἱ μὲν κνίδας οἱ δ’ ἀκαλήφας Ζμδ5. 681
letter	page-035-R	_52f14cdc-f32d-4c9a-ac8c-8b8e2ab10983	41	1	a→α	ἄκανθα. 1. μόριον τȣ͂ τῶν ζῴων σώματος. a. (vocabuli usus)	ἄκανθα. 1. μόριον τȣ͂ τῶν ζῴων σώματος. α. (vocabuli usus)
letter	page-036-L	_73d23758-1822-4e3c-b975-51bb4b1b4111	24	1	j→∅	a15, 18 (spinax Gazae C S, squalus acanthias Ζιζ10 et raja	a15, 18 (spinax Gazae C S, squalus acanthias Ζιζ10 et raa
letter	page-036-L	_6e6965f6-e299-455e-82b3-837ed0e67984	25	1	Ζ→Z	acanthias Ζιι37 St, squalus acanthias K Cr, acanthias vul-	acanthias Zιι37 St, squalus acanthias K Cr, acanthias vul-
letter	page-036-L	_22ff0665-b253-4725-9926-3840dbcf5a6d	31	1	v→ν	ἀκανθίς, avis. ἀκανθοφάγος, ἐπὶ ἀκανθῶν νέμεται, τίσι ζῴοις	ἀκανθίς, aνis. ἀκανθοφάγος, ἐπὶ ἀκανθῶν νέμεται, τίσι ζῴοις
letter	page-036-L	_7c947b42-8127-4647-bedd-e805c65469e6	38	1	ί→ύ	ἄκανθος. τῆς ἀκάνθȣ εἶδος περὶ τὴν Ἐρίθειαν διαποίκιλον τὴν	ἄκανθος. τῆς ἀκάνθȣ εἶδος περὶ τὴν Ἐρύθειαν διαποίκιλον τὴν
letter	page-036-L	_bafe2e4a-78b9-46e1-b6c6-ad6141fe64cf	39	1	L→D	χρόαν f 253. 1524b39 (Acacia vera W. cf Landsberg in Ja-	χρόαν f 253. 1524b39 (Acacia vera W. cf Dandsberg in Ja-
letter	page-036-L	_044b7181-2afb-42ea-9d3a-020e8666bf8a	49	1	θ→δ	τροφὴ ἀκανθώδης ϗ̀ ξυλικὴ τῶν πολυκοιλίων Ζμγ14. 674	τροφὴ ἀκανδώδης ϗ̀ ξυλικὴ τῶν πολυκοιλίων Ζμγ14. 674
letter	page-037-R	_76128c57-9ef9-46a1-984d-f3fb498f09eb	48	1	∅→γ	μοία γίνεται ακ803b8. ἀκοὴ δεξιά, ἀριστερά πλα29. 960	μοία γίγνεται ακ803b8. ἀκοὴ δεξιά, ἀριστερά πλα29. 960
letter	page-038-L	_cffa569e-207b-433e-8d02-b269ec3b264c	13	6	∅→ȣ ὰ→̀ ̔→̓ ῃ→η ∅→ȣ ὰ→̀	ἀκολȣθεῖν. μετὰ τὰς συνδέσμȣς, ȣ̔ς ἂν προείπῃς, ἀποδίδȣ τὰς	ἀκολȣθεῖν. μετὰ τȣ̀ς συνδέσμȣς, ȣ̓ς ἂν προείπης, ἀποδίδȣ τȣ̀ς
letter	page-038-L	_f0f130a7-7e18-40fd-bcc8-a86da769f770	40	2	 →∅ ἡ→∅	γέθει ἡ κίνησις· διὰ γὰρ τὸ τὸ μέγεθος εἶναι συνεχὲς ϗ̀ ἡ	γέθει ἡ κίνησις· διὰ γὰρ τὸ τὸ μέγεθος εἶναι συνεχὲς ϗ̀
letter	page-038-R	_e6c39a6a-b4f4-4a22-9169-0413f656f557	11	2	∅→͂ κ→χ	ρον λέγεται τὸ μὴ ἀντιστρέφον κατὰ τὴν τȣ εἶναι ἀκολȣ-	ρον λέγεται τὸ μὴ ἀντιστρέφον κατὰ τὴν τȣ͂ εἶναι ἀχολȣ-
letter	page-038-R	_d6f768dc-099b-4a3c-abba-837bf35cff1e	54	1	a→α	ἀκȣειν. ἅμα ἀκȣει ϗ̀ ἀκήκοε αι6. 446b2 (cf αἰσθάνεσθαι a).	ἀκȣειν. ἅμα ἀκȣει ϗ̀ ἀκήκοε αι6. 446b2 (cf αἰσθάνεσθαι α).
letter	page-039-L	_b4d17eb1-74f7-40c2-8f08-99cac0b3fb04	37	2	Ἀ→∅ Ἐ→∅	Ἀκραγαντῖνος Ἐμπεδοκλῆς Οα10. 279b16. Ἀκραγαντίνων	κραγαντῖνος μπεδοκλῆς Οα10. 279b16. Ἀκραγαντίνων
letter	page-039-R	_4e845d7b-3d8e-4c0a-babe-c4f118c8fea2	61	12	σ→V ε→c ς→ν ,→ν ῦ→θ σ→∅ β→θ ἔ→ἐ Ρ→P γ→0 ∅→. a→1	σεως, ἐνταῦθα ἥκιστα ἀκρίβεια ἔνι Ργ12. 1414a16. —	Vcωνν ἐνταθθα ἥκιτα ἀκρίθεια ἐνι P012.. 1414116. —
letter	page-040-L	_5c2edffd-e824-4951-86ea-6840d0edce12	50	2	∅→ȣ ὰ→̀	μένȣς Πη12. 1331b18. ἀκριβολογεῖσθαι, opp ἐκ παρόδȣ τὰς	μένȣς Πη12. 1331b18. ἀκριβολογεῖσθαι, opp ἐκ παρόδȣ τȣ̀ς
letter	page-041-R	_5a552dee-3fd6-4bc3-948a-b827963a5aa5	35	3	∅→ο ∅→π ȣ→ό	ἀκτὴ στενȣρος (apud Lycophronem cf h v) Ργ3. 1405b36.	ἀκτὴ στενοπόρος (apud Lycophronem cf h v) Ργ3. 1405b36.
letter	page-042-L	_fb74eeeb-c3e0-4f29-b772-66435422e01f	2	2	∅→̀ ύ→ȣ	ποιεῖν τȣς φαύλȣς νόμȣς ἀκύρȣς ρ37. 1443b28. ἄκυρον τὸ	ποιεῖν τȣ̀ς φαύλȣς νόμȣς ἀκȣρȣς ρ37. 1443b28. ἄκυρον τὸ
letter	page-043-L	_8ff573e1-097e-4ba9-b63b-f1dc5add64f2	8	1	M→l	mas L St K Cr AZι I 77 n 13 Su 137 n 106 M 299).	mas L St K Cr AZι I 77 n 13 Su 137 n 106 l 299).
letter	page-043-L	_a6fd8d0e-4293-41b8-a98c-ad4818632985	37	1	ύ→ώ	ᾠοῖς ἀλεύρα Ζγγ3. 754b8. — ἀλεωρὰν ἔχειν Ζμδ5. 679	ᾠοῖς ἀλεώρα Ζγγ3. 754b8. — ἀλεωρὰν ἔχειν Ζμδ5. 679
letter	page-043-R	_cd094cd3-d9b4-4f58-8e9a-0decf4699ca0	23	1	ὴ→∅	4. 17a3. 10. 20a34. Ηδ13. 1127a19. οἷς ἀληθεύει ἡ ψυχὴ	4. 17a3. 10. 20a34. Ηδ13. 1127a19. οἷς ἀληθεύει ἡ ψυχ
letter	page-044-R	_bd2eb5ba-df03-43a8-8e09-72a1e8195dcf	11	1	Ζ→Z	munis ad Ζι 32. 34 Su 106 n 30 AΖι I 77 n 1d).	munis ad Ζι 32. 34 Su 106 n 30 AZι I 77 n 1d).
letter	page-044-R	_c41d3349-48cb-499f-b28d-714557aa5816	37	4	ώ→ῴ ῃ→η Ι→I Β→B	ἀλίσκεσθαι. ἄστυ ἀλώῃ (Hom Ι 592) Ρα7. 1365a13. Βα-	ἀλίσκεσθαι. ἄστυ ἀλῴη (Hom I 592) Ρα7. 1365a13. Bα-
letter	page-045-L	_00a9ad65-fea6-4996-9b8c-e5bdc9dfa92a	2	1	τ→∅	1373b18. β23. 1397a11. exempla τȣ͂ ψυχρȣ͂ κατὰ τὴν	1373b18. β23. 1397a11. exempla τȣ͂ ψυχρȣ͂ καὰ τὴν
letter	page-045-L	_16990988-12bd-4754-9375-c70354460200	34	2	∅→I Π→I	φον ποικίλας ἀλκυόνος (Simonid fr 12) Ζιε8. 542b10. (? C Π	φον ποικίλας ἀλκυόνος (Simonid fr 12) Ζιε8. 542b10. (? C II
letter	page-045-L	_ec0f59d6-c83e-47c5-9739-51e1a10975b1	38	1	Ζ→Z	cedinis smyrnensis Su 133 n 98, alcedo ispida ΛΖι I 77	cedinis smyrnensis Su 133 n 98, alcedo ispida ΛZι I 77
letter	page-045-L	_92b4939c-1be2-4847-bbd8-906f6fedaad9	45	3	∅→ȣ ὰ→̀ ὰ→̀	1376a28. κἂν μὴ πρὸς τὰς ἐνδόξȣς, ἀλλὰ πρὸς τὰς ἄλλȣς	1376a28. κἂν μὴ πρὸς τȣ̀ς ἐνδόξȣς, ἀλλὰ πρὸς τ̀ς ἄλλȣς
letter	page-045-L	_dc02d0a5-efcf-4775-abb8-3e9faf2fe683	58	1	K→Κ	tatum Aristoteli, veluti K5. 3b19. Αγ6. 74b17. τα7. 103	tatum Aristoteli, veluti Κ5. 3b19. Αγ6. 74b17. τα7. 103
letter	page-045-L	_c8b3c2bc-49ad-4a7b-91aa-31963b1b4d06	61	26	1→C 0→' 3→2 5→6 a→2 8→2  →∅ π→2 ο→3 6→θ 5→6 a→' 5→. t→n e→n ∅→n u→m a→n  →∅ s→a f→∅ c→n t→' i→d o→n e→ι	10. 1135a18. πο16. 1455a5 al; interdum ad significationem	C'. 1126212.231θ. 1465'. al; innnrdnmm ndaigniina'dnnιm
letter	page-045-R	_6ada1a66-3e39-4447-9887-d02cdb130733	7	2	ὁ→θ ̔→̓	ὁ χρόνος ȣ̔͂τος τῆς κυήσεως ἢ μή ἐστιν, ȣ̓δέν πω συνȣ͂πται	θ χρόνος ȣ̓͂τος τῆς κυήσεως ἢ μή ἐστιν, ȣ̓δέν πω συνȣ͂πται
