column	line	corpus	llama	llama_n	marks	context
page-109-L	16	εἶρηται	εἴρηται	73	-circumflex,+acute	b2. εἶρηται ἐν ἑτέροις σαφέστερον (δι’ ἀκριβείας) αν7. 473
page-109-L	23	εἶρηται	εἴρηται	73	-circumflex,+acute	περ) εἶρηται πρότερον ἐν ἑτέροις Γβ10. 337a18. Ζμβ1. 647
page-109-L	40	εἶρηται	εἴρηται	73	-circumflex,+acute	(ὥσπερ) εἶρηται πρότερο αι7. 449a9. αν3. 474b14. Ζμδ5.
page-112-R	55	εἶρηται	εἴρηται	73	-circumflex,+acute	Heitz p 115). λ1. 954a20 εἶρηται σαφέστερον ἐν τοῖς περὶ
page-022-R	17	προαιρȣ́μενος	προαιρȣμενος	4	-acute	διαιρεῖσθαι) τȣ͂το ποιήσει Μζ12. 1038 a13. ȣ̓́θ’ ὁ προαιρȣ́με- ⏎ νος ἀδυνατῶν δέ, ȣ̓θ’ ὁ δυνάμενος μὴ προαιρȣ́μενος δέ τδ5.
page-022-R	18	προαιρȣ́μενος	προαιρȣμενος	4	-acute	νος ἀδυνατῶν δέ, ȣ̓θ’ ὁ δυνάμενος μὴ προαιρȣ́μενος δέ τδ5.
page-084-L	19	ἀπαθὴς	ἀπαθής	4	-grave,+acute	ϗ̀ ἀπαθές ἐστι τὸ πρῶτον τῶν σωμάτων Οα3. 270b2. ἀπα- ⏎ θὴς πάσης θνητῆς δυσχερείας ἐστὶν ὁ ȣ̓ρανός Οβ1. 284a14.
page-084-L	29	ἀπαθὴς	ἀπαθής	4	-grave,+acute	ἀπαθὴς ϗ̀ ἀμιγής ψγ5. 430a18. ὁ νȣ͂ς θειότερόν τι ϗ̀ ἀπα-
page-084-L	31	ἀπαθὴς	ἀπαθής	4	-grave,+acute	408b25. — ἀπαθής, dist ἐγκρατής τδ5. 125b23. ἀπαθὴς
page-084-L	35	ἀπαθὴς	ἀπαθής	4	-grave,+acute	πρὸς τὸν θάνατον ἀπαθής ηεγ1. 1229b9. ἀναίσθητος ὁ ἀπαθὴς
page-104-R	34	προαιρȣ́μενος	προαιρȣμενος	4	-acute	πως ἔχων πράττῃ, πρῶτον μὲν ἐὰν εἰδώς, ἔπειτ᾽ ἐὰν προαιρȣ́- ⏎ μενος ϗ̀ προαιρȣ́μενος δι᾽ αὐτά Ηβ3. 1105a28-32. cf ζ13.
page-104-R	35	προαιρȣ́μενος	προαιρȣμενος	4	-acute	μενος ϗ̀ προαιρȣ́μενος δι᾽ αὐτά Ηβ3. 1105a28-32. cf ζ13.
page-033-R	20	ἀλλοιȣ͂ται	ἀλλοῖȣται	3	order	αἰσθητικὸν ȣ̓ πάσχει ȣ̓δ’ ἀλλοιȣ͂ται ψγ7. 431 a5. ȣ̓χ ὁμοία
page-046-L	27	ἀλλοιȣ͂ται	ἀλλοῖȣται	3	order	ȣ̓κ ἀλλοιȣ͂ται, οἷον τὸ τετράγωνον γνώμονος περιτεθέντος ηὔ-
page-046-L	37	ἀλλοιȣ͂ται	ἀλλοῖȣται	3	order	ἀλλοιȣ͂ν. τὸ ἀλλοιȣ́μενον ἅπαν ἀλλοιȣ͂ται ὑπὸ τῶν αἰσθητῶν
page-046-L	47	ἀλλοιȣ͂ται	ἀλλοῖȣται	3	order	244 b7. τὰ ζῷα ἀλλοιȣ͂ται φυσικὴν ἀλλοίωσιν Ζκ11. 703
page-017-R	44	καλȣ͂	καλȣ	4	-circumflex	a30. cf 9. 421 b8. — act ἄγευστοι ἡδονῆς ἐλευθερίȣ, τȣ͂ καλȣ͂
page-027-L	57	καλȣ͂	καλȣ	4	-circumflex	ϗ̀ τὴν τȣ͂ καλȣ͂ ὄρεξιν, opp διὰ φόβον Ηγ11. 1126 a28, 31.
page-034-L	14	καλȣ͂	καλȣ	4	-circumflex	— περὶ καλȣ͂ ϗ̀ αἰσχρȣ͂ Ρα9. αἰσχρὰ κατ’ ἀλήθειαν, κατὰ
page-045-L	24	ἁλκυόνειοι	ἀλκυόνειοι	3	-rough,+smooth	ἁλκυόνειοι ἡμέραι διὰ τί καλȣ͂νται Ζιε8. 542 b15.
page-045-L	33	ἁλκυόνειοι	ἀλκυόνειοι	3	-rough,+smooth	ἡμέραι ἁλκυόνειοι cf ἁλκυόνειοι, ἁλκυονίδες. ὥραν παιδοτρό-
page-045-L	33	ἁλκυόνειοι	ἀλκυόνειοι	3	-rough,+smooth	ἡμέραι ἁλκυόνειοι cf ἁλκυόνειοι, ἁλκυονίδες. ὥραν παιδοτρό-
page-067-L	37	ἀποτῖσαι	ἀποτίσαι	3	-circumflex,+acute	τῶν ἀνδριάντων ακ802a38. ἀποτῖσαι χρυσȣ͂ν ἀνδριάντα ἰσο-
page-082-L	25	ἀξιȣ͂μεν	ἀξιȣμεν	3	-circumflex	λειν Πδ6. 1293a20. πο18. 1456a7. ἀξιȣ͂μεν ὑμᾶς ἐμμένειν
page-082-L	35	ἀξιȣ͂μεν	ἀξιȣμεν	3	-circumflex	εὐλόγως ἀξιȣ͂μεν Ζγα1. 715b11. ἀξιȣ͂ν μηδὲν ἀλόγως, ἃ ϗ̀
page-082-L	36	ἀξιȣ͂μεν	ἀξιȣμεν	3	-circumflex	μετὰ λόγȣ πιστεῦσαι ȣ̓ ῥᾴδιον ηεα8. 1218a29. ἀξιȣ͂μεν
page-099-L	55	ἀποτῖσαι	ἀποτίσαι	3	-circumflex,+acute	πκθ14. 952a20. ἀποτῖσαι τίμημα μέτριον οβ1347a13. μὴ
page-099-L	56	ἀποτῖσαι	ἀποτίσαι	3	-circumflex,+acute	δωροδοκήσειν, ἢ χρυσȣ͂ν ἀνδριάντα ἀποτῖσαι f 374. 1540b2.
page-105-R	2	Ἄρης	Αρης	3	-acute,-smooth	Ἄρης πρὸς Ἀφροδίτην συζευχθείς Πβ9. 1269 b28. ἀσπὶς
page-105-R	5	Ἄρης	Αρης	3	-acute,-smooth	ὠκὺς Ἄρης f 596. 1575 b9. — Ἄρης sidus Οβ12. 292 a5.
page-105-R	5	Ἄρης	Αρης	3	-acute,-smooth	ὠκὺς Ἄρης f 596. 1575 b9. — Ἄρης sidus Οβ12. 292 a5.
page-109-R	59	Ἀναλυτικοῖς	Αναλυτικοῖς	3	-smooth	πραγματείας (Μζ12. 13. η60). 10. 19b31 ἐν τοῖς Ἀνα- ⏎ λυτικοῖς (Αα46. 51b36 sqq, hunc Analyticorum locum re-
page-110-L	24	Ἀναλυτικοῖς	Αναλυτικοῖς	3	-smooth	τοῖς Ἀναλυτικοῖς (Αβ16). — Σοφιστικοὶ ἔλεγχοι 2.
page-110-L	25	Ἀναλυτικοῖς	Αναλυτικοῖς	3	-smooth	165b6 ἐν ἑτέροις (τα2. θ5). 2. 165b9 ἐν τοῖς Ἀναλυτικοῖς
page-031-L	38	απ	ἀπ	17	+smooth	απ. κ. λ. III 7). Ηι7. 1170 a31. αὑτȣ͂ (codd αὐτὸ) αἰσθά-
page-032-L	45	απ	ἀπ	17	+smooth	τὰς πέντε ψγ1. 424 b22-425 a13 (Alex Aph απ. κ. λ. III 6
page-050-R	29	μῖξις	μίξις	5	-circumflex,+acute	ἀμιξία, opp μῖξις πν9. 485b18.
page-083-L	16	μῖξις	μίξις	5	-circumflex,+acute	εἰδέναι, opp ἀφωρισμένως Κ7. 8b9. ἀορίστως, opp μῖξις
page-045-L	27	ἁλκυόνων	ἀλκυόνων	4	-rough,+smooth	ἁλκυών, avis, τὸ τῶν ἁλκυόνων γένος πάρυδρον descr, eius
page-045-L	36	ἁλκυόνων	ἀλκυόνων	4	-rough,+smooth	sed Ζιθ3 ἀηδόνων pro ἁλκυόνων legit K, alcedo vel fort tur-
page-112-L	30	περι	περὶ	697	+grave	b15 sqq). δ11. 692a17 ἐν τοῖς περι πορείας (Ζπ7. 707
page-108-R	55	ἑκ	ἐκ	369	-rough,+smooth	βέστερον ἂν θεωρηθείη ἑκ (ipsis harum formularum verbis
page-069-R	15	ἓξ	ἐξ	273	-grave,-rough,+smooth	μελίτταις ϗ̀ ταῖς σφηξίν, inter γένη ἓξ ἀγελαῖα τῶν με-
page-113-L	7	ὰ	α	239	-grave	rantur, incertum est). — Tὰ μετὰ τὰ φυσικά Α1. 981
page-084-L	51	τȣ́ς	τȣ̀ς	134	-acute,+grave	Μγ4. 1006a16. ἀπαιδευσία τὸ μὴ δύνασθαι κρίνειν τȣ́ς τ’
page-032-L	1	αλλα	ἀλλὰ	97	+grave,+smooth	ἐνεργȣ́σης Ηκ4. 1174 b14. ȣ̓ μόνον πασχει αλλα ϗ̀ ἀντι-
page-116-L	61	δεί	δεῖ	93	-acute,+circumflex	Οπτικά memorat auctor problematis ι1. 913a27 δεί-
page-112-R	47	ῶν	ὧν	58	+rough	stotelici mentio. — Περὶ φυ7 ῶν β2. 822b32 ἐκτεθείκαμεν
page-076-L	20	ἑτερον	ἕτερον	48	+acute	β4. 415a10. — 2. ἀντικεῖσθαι ἑτερον ἕτέρῳ λέγεται τετρα-
page-109-R	6	ύστερον	ὕστερον	45	+rough	ἐκ τῶν (ἐν τοῖό) ύστερον Οα10. 280a28. Γα2. 317a30.
page-113-R	25	ὑστερον	ὕστερον	45	+acute	η10.1330a5 ὑστερον ἐρȣ͂μεν (referendum videtur vel ad de-
page-035-L	36	αἰτιαν	αἰτίαν	33	+acute	sensu iudiciali. οἱ ἐν αἰτίᾳ f 385. 1542a23, 40. οἱ τὴν αἰ- ⏎ τιαν ἐπενεγκόντες ρ30. 1437a9 (ἐπ’ αἰτίᾳ μοιχείας, ἐκ γα-
page-107-R	24	εὐ	εὖ	30	+circumflex	Ἀριστοτέλης Ἀλεξάνδρῳ εὐ πράττειν ρ1. 1420a5. f 612.
page-113-L	4	ἢν	ἦν	29	-grave,+circumflex	exposita est αν1. 470b10. 3. 471a20). κ7. 923b3 δι’ ἢν
page-060-L	46	ἄνθρώπȣ	ἀνθρώπȣ	22	-acute	Ζμα4. 644 b11). dist ὅμοιον: τῷ τȣ͂ ἄνθρώπȣ στήθει ἀνά-
page-117-L	13	ψυχῆ	ψυχὴ	18	-circumflex,+grave	ψυχῆ, ϗ̀ τȣ́των αἱρετώτερα τὰ ἐν τῇ ψυχῇ, καθάπερ διαι-
page-031-L	49	ταυτόν	ταὐτὸν	16	-acute,+grave,+smooth	αἰσθάνεσθαι ϗ̀ νοεῖν ȣ̓ ταυτόν ψγ3. 427 b8-29. τὸ αἰσθά-
page-109-R	27	εἶη	εἴη	16	-circumflex,+acute	ἄλλης ἂν εἶη φιλοσοφίας οἰκειότερον ψα3. 407b12. υ3. 458
page-112-R	56	πυρος	πυρός	15	+acute	πυρος (potest cogitari de problematis περὶ πυρός, quae
page-107-L	19	αἰρεῖσθαι	αἱρεῖσθαι	14	-smooth,+rough	ἀριστίνδην αἰρεῖσθαι, syn κατ’ ἀρετήν, dist πλȣτίνδην Πβ11.
page-046-R	30	ταυτό	ταὐτό	13	+smooth	ἄλλος. ἄλλο def et dist, syn ἕτερον, opp ταυτό Μι3. 1054
page-060-R	35	ταῦτο	ταὐτό	13	-circumflex,+acute,+smooth	ἀπαιδευσίαν τῶν ἀναλυτικῶν ταῦτο δρῶσιν Μγ3. 1005 b4.
page-111-R	2	ῆς	ἧς	13	+rough	περὶ ζω ῆς ϗ̀ θανάτȣ 1. 467b13 (ψ universe). 2. 468
page-063-L	13	γῖννος	γίννος	12	-circumflex,+acute	μων γένος οἷον ἀνάπηρόν ἐστιν Ζπ18. 714b10. ὁ γῖννος
page-039-R	54	ἀκριβεία	ἀκρίβεια	10	order	αν16. 478b1. εἰς ἀκρίβειαν Πη11. 1331a2. τῇ ἀκριβεία
page-067-L	24	ἄνδρια	ἀνδρία	10	order	ἄνδρια, τὰ συσσίτια Πβ10. 1272a3.
page-079-R	24	ἀγνοίᾳ	ἄγνοια	9	-subscript	ἔσται ἐν τῇ ἀντιφάσει ϗ̀ ἀγνοίᾳ Φθ4. 255b5. πᾶσα δύναμις
page-112-L	50	κινει	κινεῖ	9	+circumflex	feratur; sed quod quaeritur 700b8 πῶς κινει τὸ πρῶτον
page-117-L	21	χρονȣ	χρόνȣ	9	+acute	πρῶτον δὲ καλῶς ἔχει διαπορῆσαι περὶ αὐτȣ͂ (τȣ͂ χρονȣ) ϗ̀
page-102-L	8	ἁπτὸν	ἁπτόν	7	-grave,+acute	1358a8. — ἁπτός, cf ἁφή. περὶ τȣ͂ ἁπτȣ͂ ψβ11. ἁπτὸν
page-113-R	36	τοπικοις	τοπικοῖς	7	+circumflex	1εχνη ῥητορικ7 α1. 1355a28 ἐν τοις τοπικοις (τα1. 101
page-017-L	37	τεχνήν	τέχνην	6	order	τȣ͂ ἔτȣς κ6. 399a23. ἄγειν τεχνήν τινα πρὸς τὰς μαθήσεις,
page-028-R	45	αἱμορροῒς	αἱμορροΐς	6	-grave,+acute	τος αἱμορροῒς ἥ τ’ ἐν ταῖς ῥισὶ ϗ̀ ἡ περὶ ἕδραν ϗ̀ ἰξία Ζιγ19.
page-076-L	20	ἕτέρῳ	ἑτέρῳ	6	-acute	β4. 415a10. — 2. ἀντικεῖσθαι ἑτερον ἕτέρῳ λέγεται τετρα-
page-038-L	46	κακίᾳ	κακία	5	-subscript	τȣ́τοις (τῷ φαύλῳ ϗ̀ τῷ σπȣδαίῳ) ἀκολȣθεῖ μόνοις· κακίᾳ
page-091-R	14	βελτιων	βελτίων	5	+acute	2. ἀποδείξεως genera. ἡ καθόλȣ ἀπόδειξις βελτιων τῆς
page-103-R	16	λεπτὸν	λεπτόν	5	-grave,+acute	ταξὺ τῶν πλεκτανῶν ἐπί τι συνυφές, λεπτὸν ϗ̀ ἀραχνιῶδες
page-111-R	6	Προβληματα	Προβλήματα	5	+acute	μασιν (fortasse conferri potest πα55, cf II Προβληματα).
page-046-L	46	ἀλλοιȣ͂σθαί	ἀλλοῖȣσθαι	4	-acute	μενον ἢ ξηραινόμενον ἢ λευκαινόμενον ἀλλοιȣ͂σθαί φαμεν Φη2.
page-083-R	55	προκείμενόν	προκείμενον	4	-acute	ματος ἐπ’ ἄλλο, ȣ̔͂ γνωσθέντος ἢ πορισθέντος ϗ̀ τὸ προκεί- ⏎ μενόν ἐστι καταφανές) Αβ25. 69a20 sqq Wz. ἡ εἰς τὸ ἀδύ-
page-102-R	61	ἀραιοτέρα	ἀραιότερα	4	order	ὁμίχλη ἀναθυμίασις νέφȣς ἀραιοτέρα κ4. 394a21. ὀστȣ͂ν
page-104-R	2	ἀλλοιȣ̃σθαι	ἀλλοῖȣσθαι	4	order	ταῦτα, ὑφ᾽ ὧν ἀλλοιȣ̃σθαι πέφυκε τὸ ἔχον Φη3. 246b18.
page-104-R	41	καλȣ̃	καλȣ	4	-circumflex	λαὶ ϗ̀ τȣ̃ καλȣ̃ ἕνεκα Ηδ2. 1120a23 (cf καλός). ημα22.
page-105-R	56	ἀριθμητικὸς	ἀριθμητικός	4	-grave,+acute	ἀριθμητικὸς ἀριθμός Μμ8. 1083 b16 (cf ἀριθμός) ἀριθ-
page-017-R	57	ὑιός	υἱὸς	3	-acute,+grave	γος f 530. 1566 a42, 15. Ἀγαπήνωρ, Ἀγκαίȣ ὑιός f 596.
page-021-L	54	κακȣργικὰ	κακȣργικά	3	-grave,+acute	ἀδικεῖν ἀδικήματα ὑβριστικά, κακȣργικὰ, ἐπιζήμια Ρβ16.
page-026-R	10	Ἀίδης	Ἅιδης	3	-smooth,+rough	Ἀίδης v ἅδης.
page-029-L	31	αἱματικὰ	αἱματικά	3	-grave,+acute	τὰ αἱματικὰ (μόρια) Ζια4. 489 a25. — τὰ αἱματικά i q τὰ
page-032-L	1	πασχει	πάσχει	3	+acute	ἐνεργȣ́σης Ηκ4. 1174 b14. ȣ̓ μόνον πασχει αλλα ϗ̀ ἀντι-
page-037-L	54	σπȣδαῖα	σπȣδαία	3	-circumflex,+acute	τὰ σπȣδαῖα μάλιστα ποιητὴς Ὅμηρος ἦν πο4. 1448b34. —
page-037-R	7	ποῖοί	ποιοί	3	-circumflex	787b11. οἱ ἀκμάζοντες ποῖοί τινές εἰσι τὰ ἤθη Ρβ14.
page-041-R	3	ἀκροτάτῃ	ἀκροτάτη	3	-subscript	ἀκρότατος. ἀκροτάτῃ κορυφῇ (Hom Α 499) κ6. 397b26.
page-042-R	41	νεοττȣ̀ς	νεοττȣ́ς	3	-grave,+acute	ρίδες ἀναπαύονται ὑφ’ ἑαυτὰς ἀγόμεναι τȣ̀ς νεοττȣ̀ς Ζιι9.
page-046-L	24	ἀλλοία	ἀλλοῖα	3	-acute,+circumflex	Ζγδ3. 768 b32. ἀλλοία ἡ φωνὴ γίνεται ἀλλοίȣ γινομένȣ τȣ͂
page-047-L	26	ἅλμῃ	ἅλμη	3	-subscript	ἅλμη. ἅλμη προσραίνεσθαι Ζιθ10. 596 a26. ἐν ἅλμῃ τρέφε-
page-059-L	45	ὀσμάς	ὀσμὰς	3	-acute,+grave	τὰς ὀσμάς εν2. 460a32. εἰς αὑτὸ ἀναλαμβάνειν τὸ ὑγρὸν
page-062-R	43	θεȣ́ς	θεȣς	3	-acute	λειαι Ρα11. 1370a15. τὴν ἀνάπαυσιν ἔχειν περὶ τȣ̀ς θεȣ́ς
page-065-R	44	ἀνατολὴ	ἀνατολή	3	-grave,+acute	ἀνατολῆς ἐπὶ δυσμάς ψβ7. 418b25. ἀνατολὴ (ἀνατολαὶ)
page-071-R	33	ὀψέ	ὀψὲ	3	-acute,+grave	θρώπȣ ϗ̀ ȣ̔͂τοι δὲ ὀψέ πια1. 899a2. 57. 905a30. διὰ τί
page-097-L	9	ποιοῖ	ποιοί	3	-circumflex,+acute	ἱδρῶτα ποιοῖ ϗ̀ ἀποπνοήν πα30. 863a7.
page-098-L	19	ὀφθαλμȣ́ς	ὀφθαλμȣ̀ς	3	-acute,+grave	ἀποσκήπτει τὸ ὕδωρ εἰς ὀφθαλμȣ́ς θ152. 846a2.
page-106-L	61	ἑκά	ἕκα	3	order	ΜΑ5. 986 a3. τῷ ἀνάλογον ϗ̀ τῷ ἀριθμῷ ὃν ἔχει πρὸς ἑκά-
page-113-L	37	Ἡθικὰ	Ἠθικὰ	3	-rough,+smooth	tetur incertum est). — Ἡθικὰ Nικομάχεια α3. 1096
page-113-L	55	Ηθικὰ	Ἠθικὰ	3	+smooth	bium est). — Ηθικὰ Εὐδήμια. ex iis locis, quibus
page-116-L	23	ἐκλογῆ	ἐκλογῇ	3	+subscript	δ’ ἡμῖν ἐν τῇ ἐκλογῆ τῶν ἐναντίων Μγ2. 1004a2, b34, ὥσπερ
