column	line	token	tier	sanctioned	evidence	context
page-021-L	38	Kr	unknown		Kr is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	addito verbo ἐστίν ρ19, 1433 b2 (cf Krüger gr Gr 56, 18, 3).
page-021-L	38	Gr	unknown		Gr is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	addito verbo ἐστίν ρ19, 1433 b2 (cf Krüger gr Gr 56, 18, 3).
page-021-R	24	Pyth	unknown		Pyth is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	a32 (dist ἁμάρτημα, ἀτυχία). ΜΑ8. 990 a24 (Pyth). dist
page-022-R	9	Rhet	unknown		Rhet is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	δι’ ἀτεχνίαν) πο25. 1460 b17. Vhl Rhet p 29 Poet IV 409.
page-022-R	9	Poet	unknown		Poet is nowhere in the p.11/p.12 key · 14 sites in the corpus, all spelt this way	δι’ ἀτεχνίαν) πο25. 1460 b17. Vhl Rhet p 29 Poet IV 409.
page-022-R	9	IV	unknown		IV is nowhere in the p.11/p.12 key · 13 sites in the corpus, all spelt this way	δι’ ἀτεχνίαν) πο25. 1460 b17. Vhl Rhet p 29 Poet IV 409.
page-022-R	16	Ellipsis	unknown		Ellipsis is nowhere in the p.11/p.12 key · the only site in the corpus	pletur (cf Ellipsis) veluti ἀλλὰ διὰ τὸ ἀδυνατεῖν (sc καλῶς
page-023-L	31	Plato	unknown		Plato is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	φησὶ (Plato) τὸν ȣ̓ρανὸν γενέσθαι μέν, ȣ̓ μὴν ἀλλ’ ἔσεσθαί
page-023-L	45	Poet	unknown		Poet is nowhere in the p.11/p.12 key · 14 sites in the corpus, all spelt this way	a37. πο7. 1451 a10. 26. 1461 b28 Vhl ad h l Poet IV 431.
page-023-L	45	IV	unknown		IV is nowhere in the p.11/p.12 key · 13 sites in the corpus, all spelt this way	a37. πο7. 1451 a10. 26. 1461 b28 Vhl ad h l Poet IV 431.
page-023-L	50	Pol	unknown		Pol is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	Göttling ad Pol p 303. — pro ἀεὶ Ρβ23. 1398 a12 restituit
page-023-L	51	Rhet	unknown		Rhet is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	δεῖ Vhl Rhet p 35. ἀεὶ pro δεῖ Πδ11. 1296 b7 Bk3. πο26.
page-023-L	52	Poet	unknown		Poet is nowhere in the p.11/p.12 key · 14 sites in the corpus, all spelt this way	1461 b28 Vhl Poet IV 430.
page-023-L	52	IV	unknown		IV is nowhere in the p.11/p.12 key · 13 sites in the corpus, all spelt this way	1461 b28 Vhl Poet IV 430.
page-023-L	53	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀείδειν. ἄειδε (Hom Α1) πο19. 1456 b16. φησὶ Μȣσαῖος εἶναι
page-023-L	56	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	b17. — ἄκικυς (Hom ι515) explicatur per voc ἀειδής πο22.
page-023-L	58	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀεικέλιος δίφρος (Hom υ259) i e μοχθηρός πο22. 1458 b29.
page-023-L	59	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀεικίζειν (Hom Ω54) Ρβ23. 1380 b29.
page-023-R	2	Ducs	unknown		Ducs is nowhere in the p.11/p.12 key · the only site in the corpus	Ducs C II 288; strix scops S; strix aluco St Cr; strix scops et
page-023-R	6	Simonid	unknown		Simonid is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	ἀελλοπόδων ἵππων (Simonid fr 7) Ργ2. 1405 b27.
page-023-R	7	Archil	unknown		Archil is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	ἄελπτον (Archil fr 76) Ργ17. 1418 b29.
page-023-R	11	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀέξειν. ἀέξεται (Hom Σ110) Ρβ2. 1378 b6. (Emped 375)
page-023-R	11	Emped	unknown		Emped is nowhere in the p.11/p.12 key · 27 sites in the corpus, all spelt this way	ἀέξειν. ἀέξεται (Hom Σ110) Ρβ2. 1378 b6. (Emped 375)
page-024-L	1	Emped	unknown		Emped is nowhere in the p.11/p.12 key · 27 sites in the corpus, all spelt this way	ἀῆναι. ἀέντων (Emped 223) αι2. 437b29.
page-024-L	55	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀῆται (Hom δ 567) πκϛ31. 943b23.
page-024-R	7	Eudemo	unknown		Eudemo is nowhere in the p.11/p.12 key · the only site in the corpus	quomodo demonstretur in dialogo Eudemo f 33. 1480 a11.
page-024-R	9	Hes	unknown		Hes is nowhere in the p.11/p.12 key · the only site in the corpus	Μȣ͂σαι f 625. 1583 b14, 22. ἀθανάτοισι (Hes θ120) ξ1. 975
page-024-R	13	Graecis	unknown		Graecis is nowhere in the p.11/p.12 key · the only site in the corpus	(epi C, Graecis hodie atherno S Cr, atherina presber Cr,
page-024-R	14	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	atherina vera Cr K AΖι I 121. n 1 ather. hepsetus L?).
page-024-R	29	Phidiae	unknown		Phidiae is nowhere in the p.11/p.12 key · the only site in the corpus	a24, 33. Phidiae statua κ6. 399 b34. θ155. 846 a18. ἐν τῷ
page-024-R	32	Osann	unknown		Osann is nowhere in the p.11/p.12 key · the only site in the corpus	Osann) θ108. 840 a28, 34, Ἀχαΐας θ109. 840 b2.— Ἀθη-
page-024-R	33	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ναίη (Hom I 390) Ργ11. 1413 a34.
page-024-R	55	Solonis	unknown		Solonis is nowhere in the p.11/p.12 key · the only site in the corpus	γορεύει f 346. 1536 a39. Solonis leges Πβ12. 1273 b35 sqq.
page-025-L	32	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	ἀθρεῖν. ἀθρήσειεν (Hom K 11) πο25. 1461 a18. οἱ μεθύοντες
page-025-L	44	Anaxag	unknown		Anaxag is nowhere in the p.11/p.12 key · 4 sites in the corpus, all spelt this way	μβ2. 354 b6. ἐξ ὁμοιομερῶν πάντων ἠθροισμένον (Anaxag)
page-025-R	22	Alcidamantem	unknown		Alcidamantem is nowhere in the p.11/p.12 key · the only site in the corpus	ἄθυρμα τῇ ποιήσει (apud Alcidamantem, cf Vhl Alcidam p10)
page-025-R	22	Alcidam	unknown		Alcidam is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	ἄθυρμα τῇ ποιήσει (apud Alcidamantem, cf Vhl Alcidam p10)
page-025-R	26	Isocr	unknown		Isocr is nowhere in the p.11/p.12 key · 5 sites in the corpus, all spelt this way	τὸν Ἄθω διορύξας (Isocr 4, 89) Ργ9. 1410 a11. σφόδρα
page-025-R	32	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	Αἴας, versus Hom affcrtur Ρβ9. 1387 a34 (Λ 542). Αἴας
page-025-R	36	Sophoclis	unknown		Sophoclis is nowhere in the p.11/p.12 key · the only site in the corpus	(Sophoclis) ἐν ταῖς διδασκαλίαις ψιλῶς Αἴας ἀναγέγραπται
page-025-R	38	Nck	unknown		Nck is nowhere in the p.11/p.12 key · 10 sites in the corpus, all spelt this way	a27 (Nck fr tr p622). Αἴαντες tragoediae patheticae πο18.
page-025-R	48	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	(Hom ε64, 239) κ6. 401 a4, 2. αἴγειροι ἐξ ὧν ἐκπίπτειν φασὶ
page-025-R	51	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	b20 (populus nigra L).
page-025-R	52	Euripidis	unknown		Euripidis is nowhere in the p.11/p.12 key · the only site in the corpus	Αἰγεὺς Euripidis πο25. 1461 b21 (cf Nck fr tr p289).
page-025-R	52	Nck	unknown		Nck is nowhere in the p.11/p.12 key · 10 sites in the corpus, all spelt this way	Αἰγεὺς Euripidis πο25. 1461 b21 (cf Nck fr tr p289).
page-026-L	3	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	naria rubra C, species emberizae L St Cr, parus caeruleus
page-026-L	12	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	αἴγλη λευκή (Hom ζ 45) κ6. 400 a14. νῆστις αἴγλη (Emp
page-026-L	12	Emp	unknown		Emp is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	αἴγλη λευκή (Hom ζ 45) κ6. 400 a14. νῆστις αἴγλη (Emp
page-026-L	15	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	caprimulgus europaeus L St K CrSu 131 n 95 AΖι1. 77. n 5).
page-026-L	15	CrSu	unknown		CrSu is nowhere in the p.11/p.12 key · the only site in the corpus	caprimulgus europaeus L St K CrSu 131 n 95 AΖι1. 77. n 5).
page-026-L	15	AΖι1	volume	AΖι I	44 sites set this editor's volume as a Roman numeral (AΖι I); this one is a digit, which no other site is · the only site in the corpus	caprimulgus europaeus L St K CrSu 131 n 95 AΖι1. 77. n 5).
page-026-L	46	Her	unknown		Her is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	νασθαί φησιν ὁ Ἡρόδοτος (Her 2, 30) Ργ16. 1417 a6. Ταὼς
page-026-L	50	Camus	unknown		Camus is nowhere in the p.11/p.12 key · the only site in the corpus	(Camus Ζιζ6. 563 a31 lectionem αἰτώλιος secutus, αἰτώλιον
page-026-R	5	Emp	unknown		Emp is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	ἀίδηλος. πῦρ ἀίδηλον (Emp 379) ψα2. 404 b14. Μβ4.
page-027-L	45	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	αἰδοίῳ ἀνδρός Ζιδ7. 532 b23 (penna marina, pennatula L,
page-027-L	46	III	unknown		III is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	S III 379 St K Cr M p 169).
page-027-L	49	Aubert	unknown		Aubert is nowhere in the p.11/p.12 key · the only site in the corpus	524 a8. Ζγα15. 720 b32 (cf de ea re Aubert die Cephalo-
page-027-L	49	Cephalo	unknown		Cephalo is nowhere in the p.11/p.12 key · the only site in the corpus	524 a8. Ζγα15. 720 b32 (cf de ea re Aubert die Cephalo-
page-027-L	50	Arist	unknown		Arist is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	poden des Arist p 25, v Siebold in Zeitschr f wiss Zoologie
page-027-L	50	Siebold	spelling	Siebld	one letter from Siebld, which is in the key; Siebold is not · the only site in the corpus	poden des Arist p 25, v Siebold in Zeitschr f wiss Zoologie
page-027-L	50	Zeitschr	unknown		Zeitschr is nowhere in the p.11/p.12 key · the only site in the corpus	poden des Arist p 25, v Siebold in Zeitschr f wiss Zoologie
page-027-L	50	Zoologie	unknown		Zoologie is nowhere in the p.11/p.12 key · the only site in the corpus	poden des Arist p 25, v Siebold in Zeitschr f wiss Zoologie
page-027-L	51	IV	unknown		IV is nowhere in the p.11/p.12 key · 13 sites in the corpus, all spelt this way	IV, Roulin in Annales des sciences naturelles 1852 T XVII,
page-027-L	51	Roulin	unknown		Roulin is nowhere in the p.11/p.12 key · the only site in the corpus	IV, Roulin in Annales des sciences naturelles 1852 T XVII,
page-027-L	51	Annales	unknown		Annales is nowhere in the p.11/p.12 key · the only site in the corpus	IV, Roulin in Annales des sciences naturelles 1852 T XVII,
page-027-L	51	T	unknown		T is nowhere in the p.11/p.12 key · the only site in the corpus	IV, Roulin in Annales des sciences naturelles 1852 T XVII,
page-027-L	51	XVII	unknown		XVII is nowhere in the p.11/p.12 key · the only site in the corpus	IV, Roulin in Annales des sciences naturelles 1852 T XVII,
page-027-L	52	Steenstrup	unknown		Steenstrup is nowhere in the p.11/p.12 key · the only site in the corpus	Steenstrup in Troschel Arch f Naturg 1856).
page-027-L	52	Troschel	unknown		Troschel is nowhere in the p.11/p.12 key · the only site in the corpus	Steenstrup in Troschel Arch f Naturg 1856).
page-027-L	52	Arch	unknown		Arch is nowhere in the p.11/p.12 key · the only site in the corpus	Steenstrup in Troschel Arch f Naturg 1856).
page-027-L	52	Naturg	unknown		Naturg is nowhere in the p.11/p.12 key · the only site in the corpus	Steenstrup in Troschel Arch f Naturg 1856).
page-027-R	2	Alc	unknown		Alc is nowhere in the p.11/p.12 key · the only site in the corpus	αἰδώς (Alc fr 55) Ρα9. 1367 a10.
page-027-R	7	Emp	unknown		Emp is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	αἴθειν. πυρὸς αἰθομένοιο (Emp 221) αι2. 437 b27.
page-027-R	10	Emp	unknown		Emp is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	αἰθὴρ δαψιλός (Emp 237) Οβ13. 294 a26. αἰθέρα δῖαν (Emp
page-027-R	10	Emp	unknown		Emp is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	αἰθὴρ δαψιλός (Emp 237) Οβ13. 294 a26. αἰθέρα δῖαν (Emp
page-027-R	12	Emp	unknown		Emp is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	μένος, αἰθέρος ῥεῦμα (Emp 347, 349, 360, 366) αν7. 473
page-027-R	28	Hom	unknown		Hom is nowhere in the p.11/p.12 key · 38 sites in the corpus, all spelt this way	αἴθρη ἀνέφελος (Hom ζ44) κ6. 400 a13.
page-028-L	4	Prantl	unknown		Prantl is nowhere in the p.11/p.12 key · the only site in the corpus	ὑδάτων ἔκρυσις χ5. 796 a15, cf Prantl, Arist über d Farben
page-028-L	4	Arist	unknown		Arist is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	ὑδάτων ἔκρυσις χ5. 796 a15, cf Prantl, Arist über d Farben
page-028-L	4	Farben	unknown		Farben is nowhere in the p.11/p.12 key · the only site in the corpus	ὑδάτων ἔκρυσις χ5. 796 a15, cf Prantl, Arist über d Farben
page-028-L	5	Meyer	unknown		Meyer is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	p 129, Meyer Gesch d Botanik I 199; Protococcum viridem
page-028-L	5	Gesch	unknown		Gesch is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	p 129, Meyer Gesch d Botanik I 199; Protococcum viridem
page-028-L	5	Botanik	unknown		Botanik is nowhere in the p.11/p.12 key · the only site in the corpus	p 129, Meyer Gesch d Botanik I 199; Protococcum viridem
page-028-L	5	Protococcum	unknown		Protococcum is nowhere in the p.11/p.12 key · the only site in the corpus	p 129, Meyer Gesch d Botanik I 199; Protococcum viridem
page-028-L	6	Ag	unknown		Ag is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	Ag vel Haematococcum Ag vel Nostoc commune Vauch signifi-
page-028-L	6	Ag	unknown		Ag is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	Ag vel Haematococcum Ag vel Nostoc commune Vauch signifi-
page-028-L	6	Nostoc	unknown		Nostoc is nowhere in the p.11/p.12 key · the only site in the corpus	Ag vel Haematococcum Ag vel Nostoc commune Vauch signifi-
page-028-L	6	Vauch	unknown		Vauch is nowhere in the p.11/p.12 key · the only site in the corpus	Ag vel Haematococcum Ag vel Nostoc commune Vauch signifi-
page-028-L	7	J	unknown		J is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	cari ci J B Meyer). ἀναγκαῖον ἢ ἔχειν αἷμα ἢ τὸ τȣ́τῳ τὴν
page-028-L	7	Meyer	unknown		Meyer is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	cari ci J B Meyer). ἀναγκαῖον ἢ ἔχειν αἷμα ἢ τὸ τȣ́τῳ τὴν
page-028-L	11	Anaxagorae	unknown		Anaxagorae is nowhere in the p.11/p.12 key · 5 sites in the corpus, all spelt this way	μόρια ἔχει. (Anaxagorae de sanguine opinio Φα4. 188 a3).
page-028-L	26	Aristoteli	unknown		Aristoteli is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	λοθεν (sanguinis circuitus ignotus Aristoteli)· αὕτη γάρ ἐστιν
page-028-R	29	Aristo	unknown		Aristo is nowhere in the p.11/p.12 key · the only site in the corpus	αἵματος ϗ̀ κεχωρισμένȣ Ζμγ4. 666 b29 (inde quod Aristo-
page-028-R	31	Meyer	unknown		Meyer is nowhere in the p.11/p.12 key · 3 sites in the corpus, all spelt this way	discrimen K Fr p 292 n 31 al, cf Meyer p 425). — πῶς
page-028-R	38	KFr	unknown		KFr is nowhere in the p.11/p.12 key · the only site in the corpus	b24, 27. 6. 515b33. Ζμβ4. 650 b14 (cf KFr p272 n12). λέ-
page-029-R	9	Gaza	unknown		Gaza is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	Gaza Cr, fort helix janthina St, refutant K M p 188, na-
page-029-R	13	Antig	unknown		Antig is nowhere in the p.11/p.12 key · the only site in the corpus	Αἵμων ὁ Σοφοκλέȣς (Antig) Ργ16. 1417b19. 17. 1418b32.
page-029-R	18	Rhet	unknown		Rhet is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	— αἰνετός Ρβ25. 1402b11 (συνετός ci Vhl Rhet 85).
page-029-R	37	Sylb	unknown		Sylb is nowhere in the p.11/p.12 key · 4 sites in the corpus, all spelt this way	Ζγε6. 785b25. χ6. 798b20. πι7. 891b15. ἤρυγγος (ci Sylb,
page-030-L	12	Cretensis	unknown		Cretensis is nowhere in the p.11/p.12 key · the only site in the corpus	(capra fera Cretensis, Su p 63 n 43, fort aegocerus pictus AΖι
page-030-L	17	Angorensis	unknown		Angorensis is nowhere in the p.11/p.12 key · the only site in the corpus	(capra Angorensis St K Cr AΖι I 63 n 2c). χίμαιρα (cf h v)
page-030-L	23	Kiebitz	unknown		Kiebitz is nowhere in the p.11/p.12 key · the only site in the corpus	2. αἴξ avis Ζιθ3. 593 b23 (fort vanellus, Kiebitz, qui
page-030-L	24	Graecia	unknown		Graecia is nowhere in the p.11/p.12 key · the only site in the corpus	adhuc in Graecia aex appellatur Belon C, refutant C S Su;
page-030-L	24	Belon	unknown		Belon is nowhere in the p.11/p.12 key · the only site in the corpus	adhuc in Graecia aex appellatur Belon C, refutant C S Su;
page-030-L	25	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	fort tantalus arquatus St, scolopax gallinago L K Cr, refutat
page-030-L	36	Lolium	unknown		Lolium is nowhere in the p.11/p.12 key · the only site in the corpus	αἶραι, ὑπνωτικόν υ3. 456 b30 (Lolium temulentum L).
page-030-L	36	L	unknown		L is nowhere in the p.11/p.12 key · 23 sites in the corpus, all spelt this way	αἶραι, ὑπνωτικόν υ3. 456 b30 (Lolium temulentum L).
page-030-R	53	Schn	unknown		Schn is nowhere in the p.11/p.12 key · the only site in the corpus	a34 e ci Schn δ6. 1292b35).
page-031-L	23	Trdlbg	spelling	Trdllbg	one letter from Trdllbg, which is in the key; Trdlbg is not · 14 sites in the corpus, all spelt this way	σχῆμα, κίνησις, Trdlbg p 166 addit χρόνος) ψβ6. 418 a11-
page-031-L	37	Alex	unknown		Alex is nowhere in the p.11/p.12 key · 6 sites in the corpus, all spelt this way	νόμεθα ὅτι ὁρῶμεν ϗ̀ ἀκȣ́ομεν ψγ2. 425 b12-25 (Alex Aphr
page-031-L	37	Aphr	unknown		Aphr is nowhere in the p.11/p.12 key · 2 sites in the corpus, all spelt this way	νόμεθα ὅτι ὁρῶμεν ϗ̀ ἀκȣ́ομεν ψγ2. 425 b12-25 (Alex Aphr
page-031-L	38	III	unknown		III is nowhere in the p.11/p.12 key · 7 sites in the corpus, all spelt this way	απ. κ. λ. III 7). Ηι7. 1170 a31. αὑτȣ͂ (codd αὐτὸ) αἰσθά-
page-031-R	60	Volkmann	unknown		Volkmann is nowhere in the p.11/p.12 key · the only site in the corpus	β5. 417b2. γ5. 429b29 (cf omnino ψβ5. 12 et Volkmann
page-031-R	61	Arist	unknown		Arist is nowhere in the p.11/p.12 key · 8 sites in the corpus, all spelt this way	Arist Psych p 15). αἰσθήσεως πάσης πρὸς τὸ αἰσθητὸν
page-031-R	61	Psych	unknown		Psych is nowhere in the p.11/p.12 key · the only site in the corpus	Arist Psych p 15). αἰσθήσεως πάσης πρὸς τὸ αἰσθητὸν
