site	tier	ground_truth	oof	kraken	vote
page-015-R:_9e5838f4-0b1f-4271-bbbe-3d47ef93955a	both	Πυθαγορείȣς τὸ δεξιὸν ϗ̀ ἄνω ϗ̀ ἔμπροσθεν f195. 1513a24.	Πυθαγορείȣς τὸ δεξιὸν ϗ̀ ἄνω ϗ̀ ἔμπροσθεν f 195. 1513a24.	Πυθαγορείȣς τὸ δεξιὸν ϗ̀ ἄνω ϗ̀ ἔμπροσθεν f 195. 1513a24.	
page-015-R:_c21628c2-bdec-4d93-884b-a74fbe44e832	both	2. species τȣ͂ ἀγαθȣ͂ distinguuntur. τἀγαθὰ τὰ μὲν καθ'	2. αcίeς τȣ͂ ἀγαθȣ͂ distinguuntur. τἀγαθὰ τὰ μὲν καθ.	2. spοcies τȣ͂ ἀγαθȣ͂ distinguuntur. τἀγαθὰ τὰ μὲν καθ'	
page-015-R:_04fa9bda-1d25-4431-9ab4-70d58e7bb94b	both	αὐτά, ἕτερα δὲ διὰ ταῦτα· τὰ μέν ἐστι τέλη, τὰ δ' ȣ̓ τέλη	αὐτά, ἕτερα δὲ διὰ ταῦτα· τὰ μέν ἐστι τέλῃ, τὰ δ' ȣ̓ τέλη	αὐτά, ἕτερα δὲ διὰ ταῦτα· τὰ μέν ἐστι τέλῃ, τὰ δ' ȣ̓ τέλη	
page-015-R:_e50d16a0-580b-464b-bac1-f4b868c41a9d	both	1097b8. Πα2.1253a1. — τὸ πρακτὸν ἀγαθὸν τέλος τῶν	1097b8. Πα2. 1253a1. — τὸ πρακτὸν ἀγαθὸν τέλος τῶν	1097b8. Πα2. 1253a1. — τὸ πρακτὸν ἀγαθὸν τέλος τῶν	
page-015-R:_f929d853-34bf-46f4-bcf6-dc33da96ecb1	both	ϗ̀ πόλει Ηα1. 1094b7. ὁ αὐτὸς βίος ἄριστος ἑκάστῳ ϗ̀ κοινῇ	ϗ̀πόλει Ηα1. 1094b7. ὁ αὐτὸς βίος ἄριτος ἑκάστῳ ϗ̀ κινῇ	ϗ̀πόλει Ηα1. 1094b7. ὁ αὐτὸς βίος ἄριστος ἑκάστῳ ϗ̀ κοινῇ	
page-016-L:_0ce186ae-27d2-43c7-9ed8-bbac4a266821	both	b17. ηεγ1. 1228b18. η2. 1235b31, 1236b26, 1237a27.	b17. ηεγ 1. 1228b18. η2. 1235b31, 1236b26, 1237a27.	b17. ηεγ1. 1228b18. η2. 1235b31, 1236b26, 1237a27,	
page-016-L:_5689875f-7014-4c0f-8d2a-6084ebeee56e	both	1261b9. ἐν περὶ ἕκαστον εἶδος τὸ βέλτιστον ηεδ4.1231b36.	1261b9. ἐν περὶ ἕκαστον εἶδος τὸ βέλτιστον ηεδ4. 1231b36.	1261b9. ἐν περὶ ἕκαστον εἶδος τὸ βέλτιστον ηεδ4. 1231b36.	
page-016-L:_fe8c9b95-77e6-4e2a-8b8a-d0f74564df23	both	β3.1200a13. 6. 1202a30. Ρα5.1360b25. ρ36.1440b16.	β3. 1200a13. 6. 1202a30. Ρα5. 1360b25. ρ36.1440b16.	β3.1200a13. 6. 1202a30. Ρα5. 1360b25. ρ36.1440b16.	
page-016-L:_b0c53820-59da-49d7-82d2-cb8f21eefefa	both	3. synonyma. τῷ ἀγαθῷ ϗ̀ κακῷ ἐν τῷ αὐτῷ γένει	3. sηωα. τῷ ἀγαθῷ ϗ̀ κακῷ ἐν τῷ αὐτῷ γένει	3. synonymα. τῷ ἀγαθῷ ϗ̀ κακῷ ἐν τῷ αὐτῷ γένει	
page-016-L:_1cce678f-588e-49ef-939b-a1cd9488b2bb	both	1013a22. ν4.1091a30, 36). ημβ9. 1207b30. ηεη15.	1013a22. ν 4. 1091a30, 36). ημβ9. 1207b30. ηεη15.	1013a22. ν4. 1091a30, 36). ημβ9. 1207b30. ηεη15.	
page-016-L:_b662cbb7-1b1e-4131-b9a3-8ede6a911be8	both	ηεη2. 1236a13. ημβ11. 1209a17. Αα1. 24a22. 40. 49	ηεη2. 1236a13. ημβ 11. 1209a17. Αα1. 24a 22. 40. 49	ηεη2. 1236a13. ημβ11. 1209a17. Αα1424a22. 40. 49	
page-016-L:_2ab04d1a-c77e-485a-861e-a2452e91dc76	both	χὴς ἀλλ' ἀγαθὸς φαινέσθω φ3. 808a7. — ἀγαθός, syn σπȣ-	χὴς ἀλλ' ἀγαθὸς φαινέσθς φ3. 8087. —ἀγαθίς, stn σπȣ-	χὴς ἀλλ' ἀγαθὸς φαινέσθω φ3. 808a7. — ἀγαθός, syn σπȣ--	
page-016-L:_3d0e6473-d3d9-481c-aab7-ba0ea6f6b59e	both	a7. γνώμη ἀρίστη τί ἐστι Ρα15. 1375a30, b17, 1376a19.	a7. γνώμῃ ἀρίστῃ τί ἐστι Ρα15. 1375a30, b17, 1376a19.	a7. γνώμη ἀρίστῃ τί ἐστι Ρα15. 1375a30, b17, 1376a19.	
page-016-L:_77797914-b776-4bae-a50a-e520944a7531	both	β25.1402b34. ὁ ἀγαθὸς φίλος δι' αὐτόν, εἷς αὐτὸς αὑτῷ,	β25. 1402b34. ὁ ἀγαθὸς φίλος δ' αὐτόν, εἷς αὐτὸς αὑτῷ,	β25. 1402b34. ὁ ἀγαθὸς φίλος δι' αὐτόν, εἷς αὐτὸς αὑτῷ,	
page-016-L:_7224bf77-2dae-4382-9f86-bef5127f4313	both	1302a1. β6.1266a21. γ7.1279a35.11.1281a40. ἐξ ἀγα-	1302a1. β6. 1266a21. γ7. 1279a35.11. 1281a40. ἐξ ἀγα-	1302a1. β6. 1266a21. γ7. 1279a35. 11. 1281a40. ἐξ ἀγα-	
page-016-L:_4b42f845-0f3d-4a22-b7a3-624375d93476	both	θῶν ἀγαθοί Πα6. 1255b2. γ13. 1283a36. Ρα9.1367b30.	θῶν ἀγαθοί Πα6. 1255b2. γ13. 1283a36. Ρα9. 1367b30.	θῶν ἀγαθοί Πα6. 1255b2. γ13. 1283a36. Ρα9. 1367b30.	
page-016-R:_c43c7a3d-3de2-49be-949d-a1352a29bcf7	both	a24. 25. 1461b15.—eius Ἰλίου πέρσις πο18. 1456a18, fort	a24. 25. 1461b15. — eius Πλίου πέρσις πο18. 1456a18, fort	a24. 25. 1461b15. — eius Ἰλίου πέρσις πο18. 1456a18, fort	
page-016-R:_6125bc0c-3d08-48e0-a359-8949b20afea4	both	p 594). ἦρξε τοῦ ᾄδειν ἐμβόλιμα πο18. 1456a30. ὥσπερ	594). ἦρξε τοὖ ᾄδειν ἐμβόλιμα πο18. 1456a30. ὥσπερ	p 594). ἦρξε τοῦ ᾄδειν ἐμβόλιμα πο 18. 1456a30. ὥσπερ	
page-016-R:_ac666bc3-3248-4cce-85e3-aea2e877ca95	both	ναιος f172. 1506b30. versus Homerici afferuntur τι4. 166	ναιος f 172. 1506b30. versus Homerici afferuntur τι4. 166	ναιος f172. 1506b30. versus Homerici alferuntur τι4. 166	
page-016-R:_87418ae9-867e-4769-8333-85beede02799	both	b7 (Β15. v l cf Wolf Prol p CLXVIII). Πγ16. 1287b14	b7 (B15. v l cf Wolf Prol p GlVIII). Πγ16. 1287b14	b7 (B 15. vl cf Wolf Prol p CLXVIII). Πγ16. 1287b14	
page-016-R:_106d17bb-6f79-4ce0-9ab0-527ad2d4d2ca	both	(Β372). Ργ11.1413a32 (Ι388). f144.1502b30 (Γ277).	(Β372). Ργ11. 1413a32 (I388). f 144. 1502b30 (Γ277).	(8372). Ργ11. 1413a32 (I388). f 144. 1502b30(Γ277).	
page-016-R:_4b529cdb-1547-44a1-832e-3691cabf80c5	both	ἐπιτάφιον ἐπὶ Ἀγαμέμνονος f596.1575a29.—Ἀγαμέμνων,	ἐπιτάφιον ἐπὶ Ἀγαμέμνονος f 596. 1575a29. — Ἀγαμέμνων	ἐπιτάφιον ἐπὶ Ἀγαμέμνονος f 596. 1575a29.— Ἀγαμέμνων,	
page-016-R:_c9f32288-981c-46cd-a400-c5967a3b02a6	both	ἀγαπητότατόν ἐστι ϗ̀ μᾶλλον αἱρȣ͂νται Ηι12.1171b29.—	ἀγαπητότατόν ἐστι ϗ̀ μᾶλλον αἱρȣ͂νται Ηι12. 1171b29. —	ἀγαπητότατόν ἐστι ϗ̀ μᾶλλον αἱρȣ͂νται Ηι12.1171b29. —	
page-017-R:_7aa39c6f-3099-47c2-b792-de7b1598921e	both	Ἀγησίλαος. Κινάδωνος ἐπίθεσις Πε7. 1306 35.	Ἀγησίλαος. Κινάδωνος ἐπίθεσις Πε7. 130635.	Ἀγησίλαος. Κινάδωνος ἐπίθεσις Πε7. 130635.	
page-017-R:_1a865f98-f35f-46eb-879f-d5a1bb6b5d0c	both	Ἀγησίπολις ci Muretus Spgl Bk3 coll Xen Hell 4, 7, 2 pro	Ἀγησίπολις ci Mfuretus Spgl Bk coll xen Hell 4, 7, 2 pro	Ἀγησίπολις ci Muretus Spgl Bk3 coll en Hell 4, 7, 2 pro	
page-018-L:_86767736-d086-4bce-8efc-4989cbf90245	both	Ηε 10. 1135a24, 30, 32. ψα5. 410b4. ȣ̓δεὶς ὃ προαιρεῖται	Ηε10. 1135a24, 30, 32. ψα5. 410b4. ȣ̓δεὶς ὃ προαιρεῖται	Ηε10. 1135a24, 30, 32. ψα5. 410b4. ȣ̓δεὶς ὃ προαιρεῖται	
page-018-L:_3df72ece-f94d-4f28-99e8-85a6c20fb2b1	both	ἀγνοȣντες φαίνονται ἀνδρεῖοι εἶναι Ηγ11. 1117a22-28. —	ἀγνοȣ͂ντες φαίνονται ἀνδρεῖοι εἶναι Ηγ11. 1117 a22-28. —	ἀγνοȣντες φαίνονται ἄνδρεῖοι εἶναι Ηγ11. 1117a22-28. —	
page-018-L:_9b5e3005-3862-45cf-8455-5e235a668438	both	τῶν ἀνηκέστων δι’ ἄγνοιαν πο14. 1453b35. τὸ δι’ ἄγνοιαν	τῶν ἀνηκέστων δι ἄγνοιαν πο14. 1453b35. τὸ δι' ἄγνοιαν	τῶν ἀνηκέστων δι’ ἄγνοιαν πο14. 1453b35. τὸ δι᾽ ἄγνοιαν	
page-018-L:_34b7fb77-18e4-4140-9ae4-01c0d9cf1ba3	both	θέμις ἀγνή f 624. 1583a26. ἁγνὲ θεῶν πρέσβισθ’ ἑκατηβόλε	θέμις ἀγνή1624. 1583a26. ἀγνὲ θεῶν πρέσβισθ ἑκατηβόλς	θέμις ἀγνή f 624. 1583a26. ἁγνὲ θεῶν πρέσβισθ' ἑκατηβόλε	
page-018-L:_6216e138-4a9e-4b56-9a8c-338ee679dcaf	both	λοις Πε11. 1313b5. ἀγνῶτες, opp γνώριμοι, συνήθεις, syn	λοις 1ε11. 1313b5. αγνῶτες, opp γνώριμοι, συνήθεις, sn	λοις Πε11. 1313b5. ἀγνῶτες opp γνώριμοιν, συνήθεις, syn	
page-018-R:_b7d7916c-e0de-4b3c-b153-e9ba49df1aca	both	γονται) πια16. 900b15. 34. 903a27. ι37.895a1. — σπέρμα	γονται) πια16. 900b15. 34. 903a27. ι37. 895a1. — σπέρμα	γονται) πια16. 900b15. 34. 903a27. ι37.895a1.— σπέρμα	
page-018-R:_a60fabbf-81ae-4d7b-a51c-52d877c54bca	both	748b7, ὀρεῖς, ἡμίονοι Ζγβ7. 746b14 sqq. 8.747a25 sqq,	748b7, ὀρεῖς, ἡμίονοι Ζγβ7. 746b14 sqq. 8. 747a25 sqq,	748b7, ὀρεῖς, ἡμίονοι Ζγβ7. 746b14 sqq. 8. 747a25 sqq,	
page-018-R:_85a5ac61-39af-4d9d-b1bf-489d323329eb	both	562a22. 21.539a32. ὀρνίθων ϗ̀ ἰχθύων τίνα ᾠὰ ἄγονα	562a22. 21. 539a32. ὀρνίθων ϗ̀ ἰχθύων τίνα ᾠὰ ἄγονα	562a22. 21. 539a32. ὀρνίθων ϗ̀ ἰχθύων τίνα ᾠὰ ἄγονα	
page-018-R:_d4e8f8b6-8029-434b-9351-1a6b3c557187	both	Ζγγ5. 756a18. α21.730a21. Ζιζ14. 568b8. τῶν ἐντόμων	Ζγγ5. 756a18. α21. 730a21. Ζιζ14. 568b8. τῶν ἐντόμων	Ζγγ5. 756a18. α21. 730a21. Ζιζ14. 568b8. τῶν ἐντόμων	
page-019-L:_4ff04662-9a5c-4797-89db-d3b2242d821b	both	a14. def f409. 1546a43.	a14. def f 409. 1546a43.	a14. def f 409. 1546a43.	
page-019-L:_95aa55ab-3a1a-422d-be7a-89b79dae9c08	both	ἀγόρασμα. ἀποστέλλειν τινὰ ἐπ’ ἀγόρασμά τι οβ1352b4.	ἀγόρασμα. ἀποστέλλειν τινὰ ἐπ᾽ ἀγόρασμά τι οβ1352b4.	ἀγόρασμα. ἀποστέλλειν τινὰ ἐπ᾽ ἀγόρασμά τι οβ1352b4.	
page-019-L:_269f799f-5777-4c13-a987-8cbe5e1b526c	both	κῶς ἀγορεύειν τινά f378. 1541a8.	κῶς ἀγορεύειν τινά f 378. 1541a8.	κῶς ἀγορεύειν τινά f 378. 1541a8.	
page-019-L:_684d6dbf-6624-470a-8a4c-46cfe958105a	both	ἀγράμματος. δηλȣ͂σί τι ϗ̀ οἱ ἀγράμματοι ψόφοι, οἷον θη-	ἀγράμματος. δηλȣσί τι ϗ̀ οἱ ἀγράμματοι ψόφοι, οἷον θη-	ἀγράμματος. δηλȣσί τι ϗ̀ οἱ ἀγράμματοι ψόφοι, οἷον θη-	
page-019-L:_8159c0f9-6f7d-47e2-aadf-2d9f29f95942	both	ϗ̀ διὰ τὴν χρῆσιν ϗ̀ διὰ τὴν τροφήν, τῶν δ’ ἀγρίων τὰ	ϗ̀ διὰ τὴν χρῆσιν ϗ̀ διὰ τὴν τροφήν, τῶν δ' ἀγρίων τὰ	ϗ̀ διὰ τὴν χρῆσιν ϗ̀ διὰ τὴν τροφήν, τῶν δ' ἀγρίων τὰ	
page-019-L:_6062f336-5f19-4a04-abf2-af9025211676	both	τῇ Ἀσίᾳ Ζιθ28. 606b17. περὶ Αἴγυπτον μετ’ ἀλλήλων ζῶσι	τῇ Ἀσίᾳ Ζιθ28. 606b17. περὶ Αἴγυπτον μετ’ ἀλλήλων ζῶσι'	τῇ Ἀσίᾳ Ζιθ28. 606b17. περὶ Αἴγυπτον μετ' ἀλλήλων ζῶσι	
page-019-L:_0685a089-1021-4ab1-b524-5c182dac3e25	both	ϗ̀ αὐτὰ τὰ ἀγριώτατα Ζιι1. 608b35. ἡμερώτατον τῶν ἀγρίων	ϗ̀ αὐτὰ τὰ ἀγριώτατα Ζι1. 608b35. ἡμεοώτατον τῶν ἀγρίων	ϗ̀ αὐτὰ τὰ ἀγριώτατα Ζιι1. 608b35. ἡμερώτατον τῶν ἀγρίν	
page-019-L:_79327ca1-185a-4bc3-84f2-33943a6ed9b5	both	b3. Ζγε3. 783a15. Ηγ13. 1118a22. τετράποδα ἄγρια, τε-	b3. Ζγε3. 783a15. Ηγ13. 1118a22. τετράποδα ἄγοια, τε-	b3. Ζγε3. 783a15. Ηγ13. 1118a22. τετράποδα ἄγοια, τε-	
page-019-R:_735af475-5fde-4597-9b76-4f7e3e51cfdf	both	ἔντομα ἄγρια Ζιε31. 557a5. ι41. 627b23, 628a29,b10.—	ἔντομα ἄγρια Ζιε31. 557a5. ι41. 627b23, 628a29,b10. —	ἔντομα ἄγρια Ζιε31. 557a5. ι41. 627b23, 628a29, b10.—	
page-019-R:_8356885a-f5c3-4344-8b64-13b4d0d551b6	both	Πδ5. 1292b14,16. ἐφ᾽ ὁποτέραν τὴν ἀγωγὴν τὸ δίκαιον ἐφαρ-	Πδ5. 1292b14, 16. ἐφ ὁποτέραν τὴν ἀγωγὴν τὸ δίκαιον ἐφαρ-	Πδ5. 1292b14, 16. ἐφ ὁποτέραν τὴν ἀγωγὴν τὸ δίκαιον ἐφαρ-	
page-019-R:_50289cf3-d6ac-4274-9fbb-af5b6ca83318	both	ἀγών Φγ6. 206a22, 31 (Ὀλύμπια). ἀγῶνες γυμνικοί Ηγ12.	ἀγών Φγ6. 206a22, 31 ( Ολύμπια). ἀγῶνες γυμικοί Ηγ12.	ἀγών Φγ6. 206a22, 31 (Ολύμπια). ἀγῶνες γυμνικοί Ηγ12.	
page-020-L:_579635bf-3c46-4986-bdad-39efa0c28da8	both	re scenica: ἑκατὸν τραγῳδίας ἀγωνίζεσθαι, πρὸς κλεψύδραν	re scenica: ἑκατὸν τραγωδίας ἀγωνίζεσθαι, πρὸς κλέψυδραν	re scenica: ἑκατὸν τραγῳδίας ἀγωνίζεσθαι, πρὸς κλεψυδραν	
page-020-L:_5ddad0ca-166a-4bec-85cb-ed1a46fc6c00	both	Ἀδάμας. ἀπέστη Κότυος Πε10. 1311b22.	Ἀδάμας ἀπέστη Κότυος Πε10. 1311b22.	Ἀδάμας ἀπέστη Κότυος Πε10. 1311b22.	
page-020-R:_b12d2219-2d3a-4388-b856-4b048ddd1c89	both	ᾅδης. τῷ κακῷ δαίμονι ὄνομα εἶναι Ἅιδης ϗ̀ Ἀρειμάνιος f8.	ᾄδης. τῷ κακῷ δαίμονι ὄνομα εἶναι Αιδης ϗ̀ Ἀρειμάνιος f 8.	ᾅδης. τῷ κακῷ δαίμονι ὄνομα εἶναι Ἄιδης ϗ̀ Ἀρειμάνιος f 8.	
page-020-R:_fca9904d-4ba9-4397-8d60-e06e2a4ad335	both	1475a38. Ἅιδȣ πύλαις ὅμοιοι οἱ κύαμοι f190. 1512a8. ὁ	1475a38. Αιδȣ πύλαις ὅμοιοι οἱ κύαμοι f 190. 1512a8. ὁ	1475a38. Ἅιδȣ πύλαις ὅμοιοι οἱ κύαμοι f 190. 1512a8. ὁ	
page-021-L:_264903cb-7de7-4730-b485-93c1d765493b	both	σιν Μδ6. 1016a18. ἀδιάφορα τῷ εἴδει, κατ’ εἶδος, κατ’	σιν Μδ6. 1016a18. ἀδιάφορα τῷ εἴδει, κατ᾽ εἶδος, κατ	σιν Μδ6. 1016a18. ἀδιάφορα τῷ εἴδει, κατ᾽ εἶδος, κατ᾽	
page-021-L:_07215160-81ee-4829-a0b8-77802ba33c05	both	structa cum dativo subiecti, veluti ὁ κριτὴς οἴεται οὐχ αὐτῷ	structa cum dativo subiecti, veluti ὁ κριτὴς οἴεται οὐχ αὑτῷ	stmeta cum dativo subiecti, veluti ὁ κριτὴς οἴεται οὐχ αὑτῷ	
page-021-L:_b515ef74-c987-4e09-98a7-77c21c95cf93	both	θόντα ὑφ’ ȣ̔͂ ȣ̓κ ἔδει Ηθ15. 1163a3 Fr.	θόντα ὑφ᾽ ȣ̔͂ ȣ̓κ ἔδει Ηθ15. 1163a3 Fr.	θόντα ὑφ' ȣ̔͂ ȣ̓κ ἔδει Ηθ15. 1163a3 Fr.	
page-021-L:_a6123079-29ab-4261-ad95-c80fdb655c18	both	1427a36. 37. 1444a11. ἀδικεῖν ἐκ προνοίας, δι’ ἐπιθυμίαν	1427a36. 37. 1444a11. ἀδικεῖν ἐκ προνοίας, δι' ἐπιθυμίαν	1427a36. 37. 1444a11. ἀδικεῖν ἐκ προνοίας, δι' ἐπιθυμίαν	
page-021-R:_153857dd-b546-4954-b297-ca06386d0e0f	both	ἀδικία ȣ̓κ ἔστι πρὸς αὑτόν, πρὸς τὰ αὑτȣ ἁπλῶς Ηε10. 1134	ἀδικία ȣ̓κ ἔστι πρὸς αὐτόν, πρὸς τὰ αὑτȣ͂ ἀπλῶς Ηε10. 1134	ἀδικία ȣ̓κ ἔστι πρὸς αὑτόν, πρὸς τὰ αὐτȣ ἁπλῶς Ηε10. 1134	
page-021-R:_4c732fc9-d0b7-49b2-890a-a4c6a52d9204	both	b1. τὸ ἄνισον, τὸ παρὰ τὸ ἀνάλογον Ηε2. 1129b1.7. 1131	b1. τὸ ἄνισον, τὸ παρὰ τὸ ἀνάλογον Ηε2. 1129b1. 7. 1131	b1. τὸ ἄνισον, τὸ παρὰ τὸ ἀνάλογον Ηε2. 1129b1. 7. 1131	
page-023-L:_609e9ffb-38ff-40b0-9528-c296786fedd2	both	Göttling ad Pol p 303. — pro ἀεὶ Ρβ23. 1398a12 restituit	Gdttling ad Pol p 303. — pro ἀεὶ Ρβ23. 1398a12 restituit	GSttling ad Pol p 303. — pro ἀεὶ Ρβ23. 1398a12 restituit	
page-023-L:_8fc8d4fb-09e5-4909-9c98-ba29931b4fd9	both	ἀεικίζειν (Hom Ω54) Ρβ23. 1380b29.	ἀεικίζειν (Hom Ο254) Ρβ23. 1380b29.	ἀεικίζειν (IIom fΩ54) Ρβ23. 1380b29.	
page-023-R:_69306b67-6d51-40eb-88f8-15f046dc1da1	both	ἀεισκῶπες descr Ζιι28. 617b31-618a7. (espèce de petits	ἀεισκῶπες descr Ζιι28. 617b31.618a7. (espece de petit	ἀεισκῶπες descr Ζιι28. 617b31-618a7. (espSce de petits	
page-023-R:_f6785efd-1bb5-4216-a96d-8ec8f98aaaa6	both	κνόπτερος (ὀρειπέλαργος, ὑπάετος), ἁλιάετος, οἱ καλȣ́μενοι γνή-	κνόπτερος (ὀρειπέλαργος, ὑπάετος), ἁλιάετος, οἱ καλȣμενοι γνή-	κνόπτερος (ὀρειπέλαργος, ὑπάετος), ἁλιάετος, οἱ καλȣμενοι γνή-	
page-023-R:_2c4ced9b-bc98-4f19-a912-0f15b3e33f32	both	a1. 11. 615a20. 12. 615a33, b13. 8. 613b11. f275. 1527b25.	a1.11. 615a20. 12. 615a33,b13. 8. 613b11. f275. 1527b25.	a1. 11. 615a20. 12. 615a33, b13. 8. 613b11. f 275. 1527b25.	
page-023-R:_ecd15ba2-4016-47ac-988a-b62a11600f8a	both	numeratur Ζιε5. 540b18 (raia aquila K ad 11 cf C).	numeratur Ζιε5. 540b18 (raia aquila K ad l l cf C)	numeratur Ζιε5. 540b18 (raia aquila K ad 1l cf C).	
page-023-R:_b5442531-fd1e-4b6f-be81-78c3f99062e2	both	28. (Ὅμηρος ποιεῖ) ȣ̓δὲν ἄηθες, ἀλλ' ἔχοντα ἤθη πο24. 1460	28. (Ὅμηρος ποιεῖ) ȣ̓δοὲν ἄηθες, ἀλλ' ἔχοντα ἤθη πο24. 1460	28. (Ὅμηρος ποιεῖ) ȣ̓δὲν ἄηθες, ἀλλ᾽ ἔχοντα ἤθη πο24. 1460	
page-024-L:_f7c5f527-637b-412e-b809-0f0dfc1042c0	both	ἀῆναι ἀέντων (Emped 223) αι2. 437b29.	ἀῆναι. ἀέντων (Emped 223) αι2. 437b29.	ἀῆναι. ἀέντων (Emped 223) αι2. 437b29.	
page-024-L:_11955a2d-6544-4ef9-b2b5-ddaf6e528857	both	μα5. 342b5, 7. πκγ23. 934a19. κυανοειδὴς χ3. 794a8. —	μα5. 342b5, 7. πκγ23. 934a19. κυανοειδῆς χ3. 794a8. —	μα5. 342b5, 7. πκγ23. 934a19. κυανοειδὴς χ3. 794a8.—	
